gene_set,analysis,n_genes_tested,n_genes_defined,genes_tested,mean_effect,perm_p_left,perm_p_two,perm_mean_null,perm_sd_null,z_score,direction,wilcoxon_stat,wilcoxon_p_two,wilcoxon_p_less,median_set,median_background
RAS upstream regulatory,lineage_corrected,7,7,"GRB2,PTPN11,RIT1,SHOC2,SOS1,SPRED1,SPRED2",-0.4291,0.0,0.0,-0.0058,0.0474,-8.9229,negative,2626.0,0.0,0.0,-0.4774,-0.0046
RAS/MAPK core,lineage_corrected,12,12,"BRAF,GRB2,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,NF1,NRAS,PTPN11,RAF1,SOS1",-0.0813,0.0185,0.037,-0.0057,0.0361,-2.0918,negative,89069.0,0.3035,0.1518,-0.0644,-0.0046
mTOR/PI3K,lineage_corrected,7,7,"AKT1,AKT2,MTOR,PIK3CA,PIK3CB,RICTOR,RPTOR",-0.0567,0.1461,0.2922,-0.0058,0.0474,-1.0739,negative,45860.0,0.2178,0.1089,-0.0747,-0.0046
Cell cycle,lineage_corrected,5,5,"CCND1,CDK2,CDK4,CDK6,RB1",-0.0287,0.3365,0.673,-0.0055,0.0559,-0.4149,negative,39672.0,0.6568,0.3284,-0.043,-0.0046
Epigenetic/PRC2,lineage_corrected,5,5,"BRD4,DOT1L,EED,EZH2,SUZ12",0.0596,0.8756,0.2488,-0.0055,0.0559,1.1634,positive,61804.0,0.1421,0.9289,0.0581,-0.0047
DNA damage response,lineage_corrected,4,4,"ATR,CHEK1,PARP1,WEE1",-0.0793,0.1199,0.2398,-0.0061,0.0629,-1.1655,negative,26898.0,0.387,0.1935,-0.0644,-0.0046
RAS feedback,lineage_corrected,7,7,"DUSP4,DUSP6,ERF,RASA2,SPRY1,SPRY2,SPRY4",0.0694,0.9461,0.1078,-0.0058,0.0474,1.5847,positive,80419.5,0.1965,0.9018,0.0241,-0.0046
RAS upstream regulatory,uncorrected,7,7,"GRB2,PTPN11,RIT1,SHOC2,SOS1,SPRED1,SPRED2",-0.4095,0.0,0.0,-0.004,0.05,-8.1103,negative,5410.0,0.0,0.0,-0.4181,-0.0028
RAS/MAPK core,uncorrected,12,12,"BRAF,GRB2,KRAS,MAP2K1,MAP2K2,MAPK1,MAPK3,NF1,NRAS,PTPN11,RAF1,SOS1",-0.0912,0.0116,0.0232,-0.0031,0.0387,-2.2808,negative,85377.0,0.2169,0.1084,-0.0721,-0.0029
mTOR/PI3K,uncorrected,7,7,"AKT1,AKT2,MTOR,PIK3CA,PIK3CB,RICTOR,RPTOR",-0.0494,0.1844,0.3688,-0.004,0.05,-0.9076,negative,46486.0,0.2354,0.1177,-0.0984,-0.0029
Cell cycle,uncorrected,5,5,"CCND1,CDK2,CDK4,CDK6,RB1",-0.0498,0.2145,0.429,-0.0031,0.0594,-0.7856,negative,34332.0,0.3651,0.1825,-0.0732,-0.0029
Epigenetic/PRC2,uncorrected,5,5,"BRD4,DOT1L,EED,EZH2,SUZ12",0.0836,0.9293,0.1414,-0.0031,0.0594,1.46,positive,66228.0,0.0643,0.9679,0.1009,-0.003
DNA damage response,uncorrected,4,4,"ATR,CHEK1,PARP1,WEE1",-0.0476,0.2556,0.5112,-0.0034,0.067,-0.6587,negative,29902.5,0.5654,0.2827,-0.0381,-0.0029
RAS feedback,uncorrected,7,7,"DUSP4,DUSP6,ERF,RASA2,SPRY1,SPRY2,SPRY4",0.0643,0.9137,0.1726,-0.004,0.05,1.3654,positive,79979.5,0.2079,0.8961,0.0471,-0.003
