cell_type,n_high,n_low,mean_high,mean_low,log2FC,cohens_d,mann_whitney_U,pvalue,focus,FDR
CD4_T_naive,7535,11764,0.6498399,0.9228172,-0.5059599,-0.30478773,3.7615404e+07,0.0,False,0.0
NK,10124,11265,0.5961591,0.70741814,-0.24686539,-0.12352347,5.352169e+07,1.6790607e-19,False,1.76301367331158e-18
Fibroblast,1046,755,0.89086634,1.3269752,-0.5748599,-0.42461997,305655.0,7.635515e-18,False,5.344860394654394e-17
Epithelial,2418,844,1.0515077,1.3527282,-0.36341232,-0.3445554,824582.0,4.7870854e-17,True,2.51321981109521e-16
Paneth,1406,479,1.0161954,1.2792727,-0.33214566,-0.28089604,283881.5,1.3152854e-07,False,5.524198513739976e-07
Unassigned,1068,2261,0.7563039,0.9189989,-0.28109676,-0.17518267,1.096434e+06,4.5305583e-06,False,1.5856954026579235e-05
pDC,430,661,0.76389784,0.99428797,-0.38028365,-0.24284717,123299.5,8.129263e-05,False,0.00024387789224939688
B_cell,5816,4040,0.67979735,0.7533319,-0.14818063,-0.08109709,1.1276188e+07,0.00012283711,False,0.00032244742033071816
Inflammatory_Mac,487,165,1.4145495,1.105586,0.3555311,0.29004708,46615.5,0.0017025548,True,0.003972627636459138
Th1,1525,813,0.6741171,0.77082264,-0.19339944,-0.10396791,588054.5,0.019502416,False,0.03743594072081826
Myofibroblast,586,391,0.7914501,0.9483874,-0.2609778,-0.16297683,105259.5,0.019609302,False,0.03743594072081826
CD8_T,851,1505,0.58579034,0.67234826,-0.19882402,-0.09447933,610619.5,0.026757928,False,0.04682637254397074
Macrophage,1303,654,1.3485482,1.443492,-0.09815607,-0.10159212,401504.0,0.035661016,False,0.05632345165525164
Endothelial,1116,666,0.9995649,1.1197567,-0.16381295,-0.121970974,350575.5,0.037548967,False,0.05632345165525164
Th17,999,289,0.6962843,0.81406,-0.22545832,-0.12721576,135170.0,0.061906252,False,0.08562712371349335
Treg,2371,864,0.75949097,0.8355255,-0.13765086,-0.077879146,985593.0,0.06523971,False,0.08562712371349335
Plasma,9776,2305,0.6199962,0.6399939,-0.04579872,-0.03031869,1.1008644e+07,0.07183917,False,0.08874250159544103
Monocyte,210,5689,1.3117605,1.4416851,-0.13625155,-0.12928072,559495.5,0.11409165,False,0.1331069204542372
Dendritic_cell,548,219,0.9686992,0.81591004,0.2476384,0.14684477,63773.5,0.14540505,False,0.16071084926002904
ILC3,396,147,0.7735822,0.8215958,-0.086874016,-0.049911816,28427.5,0.6432701,True,0.6754335880279541
Goblet,1154,211,0.68293136,0.6750837,0.01667416,0.009850758,123135.5,0.77726644,False,0.7772664569673085
